Title,Journal,Citation,Abstract,URL,Y/N/M,Why?,rand/fixed,type of phys,lit review
Multicompartmental analysis of [11C]-carfentanil binding to opiate receptors in humans measured by positron emission tomography,J Cereb Blood Flow Metab,"Frost, J J,Douglass, K H,Mayberg, H S,Dannals, R F,Links, J M,Wilson, A A,Ravert, H T,Crozier, W C,Wagner, H N Jr,eng,NS 150-80/NS/NINDS NIH HHS/,Research Support, U.S. Gov't, P.H.S.,J Cereb Blood Flow Metab. 1989 Jun;9(3):398-409. doi: 10.1038/jcbfm.1989.59.","[11C]-Carfentanil is a high affinity opiate agonist that can be used to localize mu opiate receptors in humans by positron emission tomography (PET). A four-compartment model was used to obtain quantitative estimates of rate constants for receptor association and dissociation. PET studies were performed in five normal subjects in the absence and presence of 1 mg/kg naloxone. Arterial plasma concentration of [11C]-carfentanil and its labeled metabolites were determined during each PET study. The value of k3/k4 = Bmax/kD was determined for each subject in the presence and absence of naloxone. There was a significant reduction in the value of k3/k4 from 3.4 +/- 0.92 to 0.26 +/- 0.13 in the thalamus (p less than 0.01) and from 1.8 +/- 0.33 to 0.16 +/- 0.065 in the frontal cortex (p less than 0.001). Mean values of frontal cortex/occipital cortex and thalamus/occipital cortex ratios were determined for the interval 35-70 min after injection when receptor binding is high relative to nonspecific binding. The relationship between the measured region/occipital cortex values and the corresponding values of k3/k4 in the presence and absence of naloxone was: regions/occipital cortex = 0.95 + 0.74 (k3/k4) with r = 0.98 (n = 20). Simulation studies also demonstrated a linear relationship between the thalamus/occipital cortex or frontal cortex/occipital cortex ratio and k3/k4 for less than twofold increases or decreases in k3/k4. Simulation studies in which thalamic blood flow was varied demonstrated no significant effect on the region/occipital cortex ratio at 35-70 min for a twofold increase or fourfold decrease in blood flow. Therefore, the region/occipital cortex ratio can be used to quantitate changes in k3/k4 when tracer kinetic modeling is not feasible.",https://www.ncbi.nlm.nih.gov/pubmed/2541148,N,no phys of interest,,,
"The relationship between locomotor disability, autonomic dysfunction, and the integrity of the striatal dopaminergic system in patients with multiple system atrophy, pure autonomic failure, and Parkinson's disease, studied with PET",Brain,"Brooks, D J,Salmon, E P,Mathias, C J,Quinn, N,Leenders, K L,Bannister, R,Marsden, C D,Frackowiak, R S,eng,England,Brain. 1990 Oct;113 ( Pt 5):1539-52. doi: 10.1093/brain/113.5.1539.","18F-dopa and S-11C-nomifensine (NMF) are positron emitting tracers whose caudate and putamen uptake reflects striatal dopamine storage capacity and the integrity of dopamine reuptake sites, respectively. Using these two tracers, the integrity of the presynaptic striatal dopaminergic system has been studied with positron emission tomography (PET) in 10 subjects with multiple system atrophy (MSA, Shy-Drager syndrome) who had an akinetic-rigid syndrome that was poorly responsive to L-dopa, autonomic failure, and cerebellar ataxia. PET findings for the 10 MSA patients were compared with those for 13 age-matched controls, 8 subjects with L-dopa responsive Parkinson's disease (PD), and 7 subjects with pure autonomic failure (PAF). Influx constants, Ki, reflecting specific 18F-dopa uptake into striatal tissue, were severely reduced in the putamen and caudate of the 10 MSA subjects (mean putamen Ki 0.005 min-1 MSA vs 0.013 min-1 controls; mean caudate Ki 0.007 min-1 MSA vs 0.013 min-1 controls). Reduction of putamen, but not caudate, 18F-dopa uptake correlated with severity and duration of locomotor disability. Eight patients with PD, and a similar degree and duration of locomotor disability to the patients with MSA, demonstrated equal impairment of mean putamen 18F-dopa uptake, but significant preservation of mean caudate function. The 7 PAF patients had normal mean levels of putamen and caudate 18F-dopa uptake, although 1 individual PAF patient had significantly impaired striatal function. The MSA and PD groups of subjects both showed significantly reduced levels of specific striatal S-11C-NMF binding, again caudate function being relatively preserved in PD. It is concluded that in both MSA and PD there is a parallel decline of striatal dopamine storage capacity and reuptake site integrity, probably reflecting a loss of nigrostriatal nerve terminals. Caudate function is relatively preserved in PD compared with MSA. The majority of PAF patients have an intact nigrostriatal dopaminergic system, suggesting that PAF is a condition distinct from PD and MSA in spite of some pathological similarities. PET is capable of detecting subclinical nigrostriatal involvement in PAF patients when this is present.",https://www.ncbi.nlm.nih.gov/pubmed/2123119,N,no HC,,,
Neuropsychological correlates of bilateral amygdala damage,Arch Neurol,"Tranel, D,Hyman, B T,eng,IT 32N507294/PHS HHS/,P01 NS19632/NS/NINDS NIH HHS/,Case Reports,Research Support, U.S. Gov't, P.H.S.,Arch Neurol. 1990 Mar;47(3):349-55. doi: 10.1001/archneur.1990.00530030131029.","We conducted an extensive neuropsychological investigation in a patient with bilateral amygdala damage due to Urbach-Wiethe disease. The patient had significant defects in nonverbal visual memory, in social behavior, and in ""executive control"" functions, findings consistent with the proposal, based on experimental animal work, that the amygdala plays important roles in memory and in the modulation of social and emotional behavior. General intellect and language were normal. A psychophysiological study showed that she had normal electrodermal activity (skin conductance responses), an important finding in view of the role that has been attributed to the amygdala in the central control of autonomic responses.",https://www.ncbi.nlm.nih.gov/pubmed/2310319,N,case study,,,
[Hemodynamics in the cerebral cortex and basal ganglia--observation on normal volunteers and patients with lacunes using PET],Rinsho Shinkeigaku,"Yamaguchi, S,Fukuyama, H,Yamauchi, H,Kimura, J,jpn,Japan,Rinsho Shinkeigaku. 1991 Oct;31(10):1070-6.","We examined ten healthy volunteers using positron emission tomography (PET) in order to elucidate regional changes and correlations in the cerebral circulation and oxygen metabolism. We also studied eight lacunar stroke patients so as to disclose the influences of vascular risk factors and aging on the cerebral blood flow and metabolism. We can conclude from our result as follows: 1. Cerebral blood volume (CBV) was minimum in the basal ganglia and cerebral blood flow (CBF)/CBV ratio was higher than that of cerebral cortex in healthy volunteers; 2. CBF of gray matter in healthy volunteers correlated with CBV and cerebral metabolic rate of oxygen where oxygen extraction fraction inversely correlated with CBF, CBV, and CBF/CBV; and 3. the basal ganglia CBF/CBV ratio in lacunar stroke patients was lower than that of healthy volunteers. These findings suggested that the perfusion pressure in the basal ganglia was so high in the normal condition that the angionecrosis or occlusion in the perforating arteries would be induced, especially in the aged and hypertensive patients.",https://www.ncbi.nlm.nih.gov/pubmed/1802460,N,metabolic rate of o2 is not of interest,,,
"[The relationship between cerebral white matter changes, mental function and blood pressure in normal elderly]",Nihon Ronen Igakkai Zasshi,"Yamashita, K,Kobayashi, S,Fukuda, H,Koide, H,Okada, K,Tsunematsu, T,jpn,English Abstract,Japan,Nihon Ronen Igakkai Zasshi. 1991 Jul;28(4):546-50. doi: 10.3143/geriatrics.28.546.","The authors examined the relationship between cerebral white matter changes and mental function, blood pressure in 39 neurologically normal aged (21 males, 18 females, mean age 75.0 years) who had no latent lesions on MRI images. The severity of cerebral white matter changes was estimated by T1 value images on MRI and was measured in the bilateral frontal lobe on an axial slice at the level of the basal ganglia and in the bilateral anterior, middle, and posterior portions on axial slices at the level of the body of the lateral ventricle. Mental function was measured by the Hasegawa's dementia rating scale (HDS) and Kohs' block design test (Kohs' test). The severity of cerebral frontal white matter changes increased significantly with age (p less than 0.05). However there was no significant correlation between the severity of cerebral white matter changes and HDS, Kohs' test. The severity of frontal white matter changes correlated with the mean arterial blood pressure (p less than 0.02). These results suggest that the severity of cerebral white matter changes is not related with mental function in the normal elderly, and that the severity of frontal white matter lesions is related with mean arterial blood pressure.",https://www.ncbi.nlm.nih.gov/pubmed/1942635,N,structural,,,
Alcohol intoxication does not change [11C]cocaine pharmacokinetics in human brain and heart,Synapse,"Fowler, J S,Volkow, N D,Logan, J,MacGregor, R R,Wang, G J,Wolf, A P,eng,DA 06278/DA/NIDA NIH HHS/,NS 15638/NS/NINDS NIH HHS/,Research Support, U.S. Gov't, Non-P.H.S.,Research Support, U.S. Gov't, P.H.S.,Synapse. 1992 Nov;12(3):228-35. doi: 10.1002/syn.890120308.","There is increasing evidence that the combined use of cocaine and alcohol produces enhanced behavioral and toxic effects. We have used PET and tracer doses of [11C]cocaine in 7 normal human volunteers to assess if the distribution and clearance of cocaine are altered by alcohol intoxication. Each subject received 2 PET studies with [11C]cocaine (3-11 micrograms), one before and one during alcohol intoxication (1 g/kg). Regions of interest included the brain (n = 3) and heart (n = 4). Arterial plasma was assayed for unchanged cocaine and for labeled cocaethylene, a metabolite of cocaine found in individuals using cocaine and alcohol in combination (Hearn et al., 1991a). Alcohol intoxication did not change uptake and clearance or the steady-state distribution volume of [11C] cocaine in brain (striatum, thalamus, and cerebellum) or in heart. Moreover, labeled cocaethylene was not detected in the 10 minute plasma sample. These results suggest that the acute enhancement of behavior and toxicity associated with the combined use of cocaine and alcohol is not due to an alteration in cocaine's organ distribution or to cocaethylene formation but may be related to an additive effect resulting from the direct actions of each of these drugs.",https://www.ncbi.nlm.nih.gov/pubmed/1481142,N,clinical,,,
Mapping of histamine H1 receptors in the human brain using [11C]pyrilamine and positron emission tomography,J Neurochem,"Yanai, K,Watanabe, T,Yokoyama, H,Hatazawa, J,Iwata, R,Ishiwata, K,Meguro, K,Itoh, M,Takahashi, T,Ido, T,eng,Research Support, Non-U.S. Gov't,England,J Neurochem. 1992 Jul;59(1):128-36. doi: 10.1111/j.1471-4159.1992.tb08883.x.","We have studied the characteristics of carbon-11 labeled pyrilamine as a radioligand for investigating histamine H1 receptors in human brain with positron emission tomography (PET). [11C]Pyrilamine is distributed evenly in proportion to cerebral blood flow at initial PET images. Later (after 45-60 min), 11C radioactivity was observed at high concentrations in the frontal and temporal cortex, hippocampus, and thalamus, and at low concentrations in the cerebellum and pons. The regional distribution of the carbon-11 labeled compound in the brain corresponded well with that of the histamine H1 receptors determined in vitro in autopsied materials. In six controls, the frontal and temporal cortices/cerebellum ratio increased during the first 60 min to reach a value of 1.22 +/- 0.071. Intravenous administration of d-chlorpheniramine (5 mg) completely abolished the specific binding in vivo in the frontal cortex and temporal cortex (cortex/cerebellum ratio, 0.955 +/- 0.015). The availability of this method for measuring histamine H1 receptors in vivo in humans will facilitate studies on neurological and psychiatric disorders in which histamine H1 receptors are thought to be abnormal.",https://www.ncbi.nlm.nih.gov/pubmed/1613494,N,no phys of interest,,,
Regional cerebral blood flow during experimental phobic fear,Psychophysiology,"Fredrikson, M,Wik, G,Greitz, T,Eriksson, L,Stone-Elander, S,Ericson, K,Sedvall, G,eng,Research Support, Non-U.S. Gov't,Psychophysiology. 1993 Jan;30(1):126-30. doi: 10.1111/j.1469-8986.1993.tb03211.x.","Positron emission tomographic measurements of regional cerebral blood flow (rCBF) were used to investigate central nervous system correlates of fear and anxiety. Volunteers with symptomatic snake phobia were studied while exposed to visual phobogenic, aversive, and neutral stimuli. Anxiety ratings and the number of nonspecific electrodermal fluctuations increased as a function of phobic stimulation. Phobic, compared to neutral and aversive, stimulation elevated rCBF in the visual associative cortex. The basal ganglia were not activated more by phobic than aversive or neutral stimulation. However, cortical and thalamic rCBF were always correlated during phobic but not aversive or neutral stimulation. This indicates that the thalamus could be a relay station for phobic stimulus processing and affect.",https://www.ncbi.nlm.nih.gov/pubmed/8416057,N,no corr,,,
Reduced regional brain glucose metabolism assessed by positron emission tomography in electrodermal nonresponder schizophrenics: a pilot study,J Abnorm Psychol,"Hazlett, E A,Dawson, M E,Buchsbaum, M S,Nuechterlein, K H,eng,MH37705/MH/NIMH NIH HHS/,MH40071/MH/NIMH NIH HHS/,S07 RR07012-23/RR/NCRR NIH HHS/,etc.,Research Support, U.S. Gov't, P.H.S.,J Abnorm Psychol. 1993 Feb;102(1):39-46. doi: 10.1037//0021-843x.102.1.39.","This pilot study examined whether electrodermal nonresponder and responder subgroups of schizophrenic patients differ in regional brain metabolism assessed by Positron Emission Tomography during a continuous performance test. In comparison to both normal controls (n = 6) and responder schizophrenics (n = 3), the nonresponder schizophrenics (n = 3) showed about a 20% reduction in metabolic rate across the entire brain. Nonresponder schizophrenics tended to have lower absolute metabolic rates than responders in lateral and medial frontal, thalamic, and hippocampal areas. Nonresponders also had significantly lower relative metabolic rates in medial frontal and hippocampal areas as well as the right amygdala. These data suggest that electrodermal subgroups of schizophrenics differ in both regionally specific brain metabolic processes thought to be involved in electrodermal activity and in generalized brain metabolism.",https://www.ncbi.nlm.nih.gov/pubmed/8436698,N,no coords,,,
"In vivo imaging of baboon and human dopamine transporters by positron emission tomography using [11C]WIN 35,428",Synapse,"Wong, D F,Yung, B,Dannals, R F,Shaya, E K,Ravert, H T,Chen, C A,Chan, B,Folio, T,Scheffel, U,Ricaurte, G A,eng,CA-32845/CA/NCI NIH HHS/,HD-24061/HD/NICHD NIH HHS/,NS-15080/NS/NINDS NIH HHS/,etc.,Research Support, Non-U.S. Gov't,Research Support, U.S. Gov't, P.H.S.,Synapse. 1993 Oct;15(2):130-42. doi: 10.1002/syn.890150205.","[11C]WIN 35,428 was evaluated as a specific in vivo radioligand for the dopamine transporter site by PET scanning in nonhuman primates and humans. In studies with a baboon (Papio anubis), [11C]WIN 35,428 accumulated in brain regions containing dopamine transporters, i.e., the striata. This accumulation was partially blocked by prior administration of (-)cocaine (4 mg/kg, i.v.). Placement of a unilateral lesion of dopamine-containing nerve terminals with MPTP resulted in a unilateral reduction in [11C]WIN 35,428 accumulation in the striatum on the side of the lesion. Imaging of D2 dopamine receptors with [11C]NMSP in the same MPTP-treated animals showed much less reduction in the postsynaptic D2 dopamine receptors as compared to the much larger reduction in the dopamine transporters labeled with [11C]WIN 35,428. A total of ten normal human volunteers (five males and five females) with ages ranging from 19 to 81 years were studied. The caudate/cerebellar and putamen/cerebellar ratios ranged from 4.4 to 5.7 90 min after injection of the tracer. Preliminary kinetic modeling with arterial plasma sampling resulted in an average binding potential (k3/k4) of 4.98 in the caudate nucleus and 5.13 in putamen. To demonstrate in vivo blockade with dopamine reuptake inhibitors, two subjects received prior oral doses of 6 mg mazindol. Subject 5 had significant reductions of 29% in the caudate/cerebellar ratio at 90 min, 35% in the putamen/cerebellar ratio at 90 min, 45% in the caudate k3/k4 ratio from 6.7 to 3.7, and 46% in the putamen k3/k4 from 4.7 to 2.5. Subject 8 had significant reductions of 20% in both the caudate/cerebellar ratio and the putamen/cerebellar ratio at 90 min. During the human PET studies, a number of neuropsychological tests and physiological measurements were performed. No significant changes were found after administration of the [11C]WIN 35,428 alone. Taken together, these data indicate that [11C]WIN 35,428 is a promising radioligand for future studies of neuropsychiatric disorders that involve the dopamine transporter site.",https://www.ncbi.nlm.nih.gov/pubmed/8259524,N,no phys of interest,,,
