id,Hours,Day,Pride,Love,Hope,Gratitude,Joy,Satisfaction,Awe,Amusement,Alertness,Anxiety,Disdain,Ofense,Guilt,Disgust,Fear,Embarassment,Sadness,Anger
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,14,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,15,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1,19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8,8,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8,9,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
8,10,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,17,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,17,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,11,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
15,14,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
15,15,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,15,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,8,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,22,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
26,7,7,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
26,9,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,11,4,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
26,20,5,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
26,21,2,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
32,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,16,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,17,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
32,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,21,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
45,12,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,20,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,10,3,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
47,19,3,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
47,19,5,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
47,20,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
47,20,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
47,22,4,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
47,22,6,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
54,7,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,16,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
56,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
56,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
56,16,4,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
56,17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,11,1,0,0,0,0,0,0,0,0,0, , , , , , , , , 
60,12,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
60,21,7,0,0,0,0,0,0,0,0,0, , , , , , , , , 
60,22,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
64,12,6,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
64,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,16,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
64,20,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
68,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,6,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
68,11,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
68,15,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
68,16,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
68,18,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
68,19,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,1,6,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
75,15,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
77,10,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
77,10,7,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
77,11,4,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
77,17,5,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
81,9,7,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
81,11,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
81,16,6,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81,18,4,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
85,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
85,18,6,1,0,0,0,0,0,0,0,1, , , , , , , , , 
87,9,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
87,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,9,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
87,10,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91,8,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91,8,4,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
91,10,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
91,12,3,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
91,14,5,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
91,14,6,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
91,18,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
91,18,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
91,19,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
100,9,7,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
100,11,5,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1
100,15,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
100,18,4,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
104,8,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
104,8,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
106,13,3,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
106,13,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
108,11,7,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
108,15,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
110,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,11,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
110,13,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
110,13,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
110,15,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
110,15,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
110,15,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
110,18,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
110,21,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
119,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,13,6,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
