"id","gender","age","attnpassed","state","response"
1,1,20,0,"Anger",64
1,1,20,0,"Sadness",11
1,1,20,0,"Embarrassment",30
1,1,20,0,"Fear",30
1,1,20,0,"Disgust",32
1,1,20,0,"Guilt",3
1,1,20,0,"Offense",35
1,1,20,0,"Contempt",64
1,1,20,0,"Anxiety",4
1,1,20,0,"Alertness",44
1,1,20,0,"Amusement",83
1,1,20,0,"Awe",87
1,1,20,0,"Satisfaction",84
1,1,20,0,"Joy",71
1,1,20,0,"Gratitude",64
1,1,20,0,"Hope",21
1,1,20,0,"Love",65
1,1,20,0,"Pride",86
2,2,32,0,"Anger",31
2,2,32,0,"Sadness",37
2,2,32,0,"Embarrassment",64
2,2,32,0,"Fear",16
2,2,32,0,"Disgust",22
2,2,32,0,"Guilt",100
2,2,32,0,"Offense",29
2,2,32,0,"Contempt",24
2,2,32,0,"Anxiety",6
2,2,32,0,"Alertness",85
2,2,32,0,"Amusement",87
2,2,32,0,"Awe",66
2,2,32,0,"Satisfaction",87
2,2,32,0,"Joy",85
2,2,32,0,"Gratitude",76
2,2,32,0,"Hope",100
2,2,32,0,"Love",50
2,2,32,0,"Pride",19
3,2,49,1,"Anger",33
3,2,49,1,"Sadness",67
3,2,49,1,"Embarrassment",50
3,2,49,1,"Fear",69
3,2,49,1,"Disgust",31
3,2,49,1,"Guilt",74
3,2,49,1,"Offense",32
3,2,49,1,"Contempt",33
3,2,49,1,"Anxiety",31
3,2,49,1,"Alertness",31
3,2,49,1,"Amusement",50
3,2,49,1,"Awe",50
3,2,49,1,"Satisfaction",31
3,2,49,1,"Joy",68
3,2,49,1,"Gratitude",50
3,2,49,1,"Hope",50
3,2,49,1,"Love",70
3,2,49,1,"Pride",31
4,2,32,1,"Anger",22
4,2,32,1,"Sadness",43
4,2,32,1,"Embarrassment",28
4,2,32,1,"Fear",23
4,2,32,1,"Disgust",8
4,2,32,1,"Guilt",25
4,2,32,1,"Offense",7
4,2,32,1,"Contempt",12
4,2,32,1,"Anxiety",23
4,2,32,1,"Alertness",89
4,2,32,1,"Amusement",91
4,2,32,1,"Awe",85
4,2,32,1,"Satisfaction",96
4,2,32,1,"Joy",81
4,2,32,1,"Gratitude",98
4,2,32,1,"Hope",96
4,2,32,1,"Love",100
4,2,32,1,"Pride",76
5,1,19,1,"Anger",34
5,1,19,1,"Sadness",35
5,1,19,1,"Embarrassment",33
5,1,19,1,"Fear",16
5,1,19,1,"Disgust",16
5,1,19,1,"Guilt",16
5,1,19,1,"Offense",16
5,1,19,1,"Contempt",8
5,1,19,1,"Anxiety",33
5,1,19,1,"Alertness",88
5,1,19,1,"Amusement",85
5,1,19,1,"Awe",85
5,1,19,1,"Satisfaction",99
5,1,19,1,"Joy",85
5,1,19,1,"Gratitude",100
5,1,19,1,"Hope",98
5,1,19,1,"Love",85
5,1,19,1,"Pride",72
6,1,42,1,"Anger",7
6,1,42,1,"Sadness",25
6,1,42,1,"Embarrassment",18
6,1,42,1,"Fear",0
6,1,42,1,"Disgust",32
6,1,42,1,"Guilt",25
6,1,42,1,"Offense",13
6,1,42,1,"Contempt",7
6,1,42,1,"Anxiety",25
6,1,42,1,"Alertness",100
6,1,42,1,"Amusement",100
6,1,42,1,"Awe",77
6,1,42,1,"Satisfaction",100
6,1,42,1,"Joy",85
6,1,42,1,"Gratitude",95
6,1,42,1,"Hope",85
6,1,42,1,"Love",100
6,1,42,1,"Pride",85
7,1,48,1,"Anger",36
7,1,48,1,"Sadness",62
7,1,48,1,"Embarrassment",35
7,1,48,1,"Fear",62
7,1,48,1,"Disgust",13
7,1,48,1,"Guilt",40
7,1,48,1,"Offense",65
7,1,48,1,"Contempt",67
7,1,48,1,"Anxiety",33
7,1,48,1,"Alertness",42
7,1,48,1,"Amusement",23
7,1,48,1,"Awe",60
7,1,48,1,"Satisfaction",52
7,1,48,1,"Joy",24
7,1,48,1,"Gratitude",34
7,1,48,1,"Hope",62
7,1,48,1,"Love",38
7,1,48,1,"Pride",36
8,2,32,0,"Anger",70
8,2,32,0,"Sadness",50
8,2,32,0,"Embarrassment",17
8,2,32,0,"Fear",30
8,2,32,0,"Disgust",50
8,2,32,0,"Guilt",12
8,2,32,0,"Offense",50
8,2,32,0,"Contempt",21
8,2,32,0,"Anxiety",37
8,2,32,0,"Alertness",92
8,2,32,0,"Amusement",68
8,2,32,0,"Awe",70
8,2,32,0,"Satisfaction",92
8,2,32,0,"Joy",70
8,2,32,0,"Gratitude",92
8,2,32,0,"Hope",82
8,2,32,0,"Love",90
8,2,32,0,"Pride",64
9,1,29,0,"Anger",32
9,1,29,0,"Sadness",33
9,1,29,0,"Embarrassment",0
9,1,29,0,"Fear",15
9,1,29,0,"Disgust",49
9,1,29,0,"Guilt",29
9,1,29,0,"Offense",0
9,1,29,0,"Contempt",34
9,1,29,0,"Anxiety",69
