"","Pride","Love","Hope","Gratitude","Joy","Satisfaction","Awe","Amusement","Alertness","Anxiety","Contempt","Offense","Guilt","Disgust","Fear","Embarrassment","Sadness","Anger"
"Pride",4.61899602462509,1.11158755217993,1.42892936063308,1.95140624102199,1.24813148340507,1.42586511471853,2.26604140940838,1.27494837939461,1.014434677001,0.559206586391869,0.650663526688674,0.609081685588511,0.576854502024629,0.469862254107753,0.530002874154681,0.658931434287562,0.406159879555237,0.521584527467034
"Love",1.11158755217993,2.30360342830971,0.991909642026573,1.01157396558017,0.904431097630837,0.868220766893591,1.18917951725942,0.837275461098295,0.655200365194821,0.693204107401045,0.649002823455676,0.593134325671326,0.786309546078696,0.60387951390367,0.795764914229905,0.716192162955034,0.618561830854275,0.588193999048609
"Hope",1.42892936063308,0.991909642026573,2.55118291736988,1.57512161089223,0.999465440083057,1.03924383917721,1.52430918242634,0.926776058850446,0.837527678362455,0.639013095897903,0.501548344436493,0.567115965847431,0.630328292103095,0.493589742383287,0.699779510486561,0.682282708010241,0.482234591239046,0.477229589235884
"Gratitude",1.95140624102199,1.01157396558017,1.57512161089223,5.6835757129203,1.22828315586002,1.38405682151802,2.8487625198657,1.24649305597348,1.02125709502626,0.533116116388881,0.554280603582011,0.555087795704482,0.691038175842906,0.446167576267144,0.612580367483992,0.760997519220313,0.476894192492113,0.445461938718374
"Joy",1.24813148340507,0.904431097630837,0.999465440083057,1.22828315586002,1.81762506352779,1.2019795061461,1.3169974894446,1.14090128868628,0.773012958052048,0.458643789548077,0.430490146625003,0.39089996433646,0.416345819114891,0.341306430222201,0.37805280612885,0.540254487862448,0.318953171222037,0.315722391676817
"Satisfaction",1.42586511471853,0.868220766893591,1.03924383917721,1.38405682151802,1.2019795061461,2.27419407830945,1.41648739428928,1.03582940560108,0.830750346809146,0.438914372205767,0.450614306538095,0.384391896169371,0.433537448131642,0.325301446733536,0.376622513119972,0.536464288363918,0.306476653791838,0.306091625987226
"Awe",2.26604140940838,1.18917951725942,1.52430918242634,2.8487625198657,1.3169974894446,1.41648739428928,11.0757654880088,1.92745719101505,1.44909880387918,0.503141879888279,0.685805912570207,0.557248312944871,0.621785693863001,0.441831362963738,0.630409903646886,0.819133024174507,0.447522995954843,0.425921566754129
"Amusement",1.27494837939461,0.837275461098295,0.926776058850446,1.24649305597348,1.14090128868628,1.03582940560108,1.92745719101505,3.86439886246703,0.92145471351108,0.518849866357301,0.640078449355994,0.536263176573852,0.513938365677842,0.449259078468884,0.5498841856977,0.724659443189576,0.377196916601201,0.364589692254914
"Alertness",1.014434677001,0.655200365194821,0.837527678362455,1.02125709502626,0.773012958052048,0.830750346809146,1.44909880387918,0.92145471351108,2.38182219355668,0.574640420150228,0.578863907721979,0.570979407794415,0.549871289956495,0.484576448553773,0.580492541875,0.658695306945748,0.467736117737696,0.463013504466859
"Anxiety",0.559206586391869,0.693204107401045,0.639013095897903,0.533116116388881,0.458643789548077,0.438914372205767,0.503141879888279,0.518849866357301,0.574640420150228,2.21491149285753,1.15888557985425,1.12530031452314,1.29463604821183,1.02809255502633,1.65229849179562,1.12337081323689,1.06365128118957,1.05999593523261
"Contempt",0.650663526688674,0.649002823455676,0.501548344436493,0.554280603582011,0.430490146625003,0.450614306538095,0.685805912570207,0.640078449355994,0.578863907721979,1.15888557985425,62.8712570348738,5.20998249680638,3.49179902475282,3.20671178493871,3.54043409279035,3.70219810089688,1.57676966323238,3.09387642570179
"Offense",0.609081685588511,0.593134325671326,0.567115965847431,0.555087795704482,0.39089996433646,0.384391896169371,0.557248312944871,0.536263176573852,0.570979407794415,1.12530031452314,5.20998249680638,13.3557487814957,2.58213816129788,2.93221382993089,2.39780775883347,2.28915567968854,1.82156740870001,3.17299685895727
"Guilt",0.576854502024629,0.786309546078696,0.630328292103095,0.691038175842906,0.416345819114891,0.433537448131642,0.621785693863001,0.513938365677842,0.549871289956495,1.29463604821183,3.49179902475282,2.58213816129788,12.1929847026504,1.96296804587476,2.86459465009286,3.38052958282386,1.74886606192516,1.79010578736972
"Disgust",0.469862254107753,0.60387951390367,0.493589742383287,0.446167576267144,0.341306430222201,0.325301446733536,0.441831362963738,0.449259078468884,0.484576448553773,1.02809255502633,3.20671178493871,2.93221382993089,1.96296804587476,5.78641288567153,1.75536957657974,1.59212552234565,1.81891963222479,2.699445998318
"Fear",0.530002874154681,0.795764914229905,0.699779510486561,0.612580367483992,0.37805280612885,0.376622513119972,0.630409903646886,0.5498841856977,0.580492541875,1.65229849179562,3.54043409279035,2.39780775883347,2.86459465009286,1.75536957657974,12.2963463652826,2.60322229394697,1.66851112147538,1.64899675063184
"Embarrassment",0.658931434287562,0.716192162955034,0.682282708010241,0.760997519220313,0.540254487862448,0.536464288363918,0.819133024174507,0.724659443189576,0.658695306945748,1.12337081323689,3.70219810089688,2.28915567968854,3.38052958282386,1.59212552234565,2.60322229394697,14.2358331736868,1.22204032739521,1.31525458847652
"Sadness",0.406159879555237,0.618561830854275,0.482234591239046,0.476894192492113,0.318953171222037,0.306476653791838,0.447522995954843,0.377196916601201,0.467736117737696,1.06365128118957,1.57676966323238,1.82156740870001,1.74886606192516,1.81891963222479,1.66851112147538,1.22204032739521,3.14380618039542,1.77962891815116
"Anger",0.521584527467034,0.588193999048609,0.477229589235884,0.445461938718374,0.315722391676817,0.306091625987226,0.425921566754129,0.364589692254914,0.463013504466859,1.05999593523261,3.09387642570179,3.17299685895727,1.79010578736972,2.699445998318,1.64899675063184,1.31525458847652,1.77962891815116,6.6180270563025
