"","x"
"Pride",0.129789997038892
"Love",0.298863090084768
"Hope",0.219089918091993
"Gratitude",0.0863153643734222
"Joy",0.344034353683306
"Satisfaction",0.270456535009718
"Awe",0.051521572635881
"Amusement",0.165438961435317
"Alertness",0.241988955781157
"Anxiety",0.293432005214802
"Contempt",0.010217047166363
"Offense",0.0500438543854198
"Guilt",0.0566260246637172
"Disgust",0.117036870136774
"Fear",0.0545971433711917
"Embarrassment",0.0468758927032499
"Sadness",0.204911697683173
"Anger",0.100451834311122
