"id","gender","age","attnpassed","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
1,1,20,0,16,35,77,82,41,45,31,86,80,37,26,88,24,87,70,85,92,11,9,97,92,43,38,14,26,64,80,54,38,90,64,95,39,99,93,91,62,86,74,69,94,59,23,27,31,64,61,75,81,87,70,26,75,38,34,66,71,80,69,69,69,36,36,89,39,84,99,64,85,76,86,16,8,78,36,79,92,18,94,70,38,43,38,45,90,76,73,83,63,90,22,66,39,81,74,78,66,44,96,35,35,92,97,79,57,41,5,92,37,36,88,37,41,27,75,82,91,91,78,33,74,62,78,38,88,36,71,17,35,93,69,30,67,39,72,33,14,98,77,38,40,63,15,88,31,98,34,94,94,90,41,97,41,92,74,90,88,93,75,94,98,94,27,87,63,88,86,89,38,76,88,10,91,27,32,32,11,62,69,84,78,29,45,64,23,84,94,77,67,91,64,28,40,91,84,85,86,38,63,44,80,36,87,50,66,69,98,65,72,55,66,58,47,29,67,74,64,66,34,24,66,75,10,95,78,61,26,34,42,97,95,18,94,67,34,11,28,98,71,17,77,17,92,39,20,71,95,90,91,62,66,12,88,89,83,26,74,21,43,92,37,76,30,89,96,31,67,36,82,79,31,95,70,74,86,71,58,53,72,37,79,40,39,41,37,71,87,65,34,34,78,82,57,93,78,84,72,84,37,53,64,77,73,25,38,74,40,64,85,72,76,38,65,33,69,16,90,90,76,94,73,97,65,36,36,89,70,70,68,97,65,36,96,56,17,13,16,29,36,79,35,14
2,2,32,0,75,60,35,92,28,80,32,70,75,41,61,50,90,59,80,27,63,50,80,88,69,31,21,75,73,74,39,89,62,91,37,31,29,89,63,68,65,91,100,32,86,25,25,31,64,94,84,27,13,67,27,76,27,89,74,71,76,100,76,73,76,74,79,66,21,28,91,21,40,34,45,66,76,89,36,14,59,69,90,44,87,45,33,43,27,32,22,11,17,72,61,34,72,84,19,20,62,32,55,59,33,91,91,62,62,29,90,31,27,29,65,74,56,63,87,86,61,39,18,60,42,30,90,90,30,29,61,68,42,70,30,74,60,100,86,61,33,25,78,63,56,27,66,32,74,72,61,78,33,37,63,57,75,92,77,24,85,36,29,65,26,23,50,45,88,63,89,89,26,27,61,66,73,23,78,84,92,77,63,74,89,30,92,89,18,87,91,73,90,61,32,85,74,13,71,64,52,31,30,30,29,61,36,29,56,33,88,63,62,62,37,91,78,87,97,91,60,90,24,30,26,32,76,94,18,69,31,80,100,91,89,25,90,71,32,63,74,24,35,19,75,35,83,75,57,61,24,100,88,32,88,85,29,73,23,83,33,30,27,62,34,84,25,93,14,33,100,16,12,64,33,41,32,15,30,36,31,63,21,26,76,62,86,82,30,100,98,92,37,66,91,61,34,33,33,36,39,36,93,65,79,74,17,97,40,80,62,36,50,63,20,91,32,26,19,35,31,63,70,24,65,22,91,23,69,63,36,84,78,0,71,76,94,15,13,34,13,15,24,0,50,81
3,2,49,1,95,26,26,78,75,28,70,24,100,50,90,77,24,15,23,77,76,29,50,64,23,25,76,25,77,22,35,77,25,25,50,92,34,87,25,77,77,23,89,76,76,25,60,50,82,97,84,41,75,51,78,81,22,60,75,77,24,72,25,76,76,71,24,35,22,51,97,7,78,76,49,46,38,15,77,68,34,28,31,50,38,89,77,78,50,77,94,77,77,78,25,87,77,68,75,76,77,74,50,75,50,95,24,23,77,91,7,76,25,24,76,68,51,50,60,36,76,78,77,25,79,25,80,50,67,63,28,31,15,72,11,79,79,77,79,76,80,34,50,24,50,55,65,85,76,24,76,18,34,81,50,50,78,66,50,77,27,69,88,70,51,78,1,74,50,50,25,96,24,5,25,51,40,77,90,23,77,24,64,23,68,26,50,25,50,25,26,76,76,96,77,76,76,11,77,51,75,74,28,93,50,100,93,25,75,74,56,64,76,27,50,50,58,75,65,51,83,10,90,81,52,78,77,77,23,78,50,86,26,29,50,78,77,50,25,77,78,25,72,53,74,93,70,67,100,27,79,76,77,78,25,22,38,78,50,63,24,79,77,65,89,51,24,80,75,51,79,13,77,78,24,90,76,91,51,77,52,78,78,74,77,50,76,76,53,51,50,38,77,50,50,24,75,78,24,50,68,25,39,88,76,24,69,76,76,78,50,79,76,50,1,77,77,95,52,75,69,79,50,31,90,93,78,40,67,33,50,31,69,26,68,67,69,69,50,50,69,32,50,50,30,69
4,2,32,1,100,67,55,80,92,40,94,100,76,19,4,43,6,3,1,5,1,8,85,100,81,96,77,77,64,55,97,38,9,61,6,2,4,29,5,15,60,71,100,80,61,87,81,8,95,42,18,46,14,6,5,8,24,12,90,97,68,100,63,71,56,73,90,57,5,91,2,2,12,40,4,24,99,77,59,54,100,84,96,100,57,59,1,63,3,2,2,3,3,3,98,93,97,71,47,100,68,58,92,39,27,24,7,5,8,12,9,13,88,53,62,39,72,66,100,75,58,33,13,31,6,5,4,5,3,8,99,67,66,84,98,73,73,100,90,37,12,3,7,0,6,2,1,23,73,96,93,99,81,72,82,65,100,60,13,56,2,23,2,16,11,23,57,64,58,72,52,56,47,56,58,100,55,85,48,45,75,64,60,31,7,2,14,27,2,13,5,2,2,43,100,89,78,97,87,83,77,84,31,64,15,77,30,13,40,21,35,80,85,100,94,98,92,96,91,98,1,6,13,13,1,2,3,4,4,47,96,89,100,98,98,88,100,94,0,1,7,16,1,13,0,0,2,54,92,99,99,100,99,91,98,97,3,14,58,42,4,11,6,1,23,62,90,98,94,93,100,98,99,99,13,3,14,25,27,12,6,8,38,52,96,90,87,98,93,100,99,95,2,6,25,7,1,18,3,2,25,44,90,98,98,97,96,94,100,97,10,11,43,11,6,13,11,20,22,34,98,65,92,99,96,88,75,100,78,57,72,77,92,75,93,88,77,11,9,15,4,19,2,4,0,24
5,1,19,1,100,87,68,85,17,79,76,86,85,68,40,45,27,21,30,5,50,45,60,100,91,28,76,82,89,65,63,11,21,50,42,27,35,18,21,28,28,85,100,88,74,71,77,25,63,12,50,25,21,26,33,28,21,28,77,82,73,100,70,56,66,71,75,33,81,58,32,22,17,36,21,3,76,68,77,75,100,80,82,75,79,56,50,23,23,20,50,10,10,19,93,76,78,69,75,100,77,84,89,74,22,17,35,24,12,27,32,34,71,81,75,81,73,76,100,84,25,64,76,22,32,29,39,35,35,57,100,23,77,38,85,88,85,100,70,38,37,40,31,9,79,34,39,16,85,47,93,79,74,82,75,78,100,61,11,23,37,28,28,74,25,69,57,12,33,71,61,54,80,64,78,100,78,81,71,77,72,50,77,70,25,21,50,25,26,43,25,16,50,64,100,78,72,84,82,50,90,77,53,25,28,32,17,42,21,28,36,76,70,100,98,79,72,77,90,80,29,26,17,18,1,25,32,28,22,83,70,73,100,82,76,88,100,65,38,37,31,37,21,25,35,17,33,81,68,80,83,100,82,81,77,84,19,38,23,34,12,38,24,29,25,74,72,73,78,100,100,72,71,77,39,4,73,24,38,35,0,22,28,75,77,84,47,81,83,100,86,76,31,29,35,13,19,30,17,26,26,75,89,64,86,64,85,98,100,100,33,36,24,24,24,20,32,14,25,74,78,84,91,50,50,88,75,100,66,65,67,84,84,84,84,92,67,12,15,15,1,15,0,2,15,28
6,1,42,1,100,91,84,87,76,92,100,96,100,77,7,14,0,0,1,8,0,7,88,100,88,90,95,100,84,85,96,51,3,11,13,2,7,0,3,7,91,79,100,100,97,91,85,96,96,77,0,14,7,8,3,0,7,8,86,96,88,100,85,76,76,87,92,100,3,2,0,1,5,2,0,5,87,91,90,89,100,92,100,96,100,51,8,5,2,0,4,4,0,0,70,97,93,92,90,100,76,80,93,50,0,0,0,8,1,11,5,0,87,79,94,89,92,86,100,83,99,50,8,1,2,0,11,0,0,8,96,83,95,92,99,96,88,100,99,51,3,9,0,3,0,13,9,1,97,98,83,96,92,98,92,93,100,50,0,6,12,13,1,0,0,9,89,36,98,100,91,75,92,89,76,100,75,88,78,90,78,78,77,50,13,0,37,0,3,0,5,10,2,82,100,69,93,84,94,69,92,50,5,10,0,15,16,11,14,6,11,92,90,100,91,95,91,73,98,97,0,9,6,1,2,4,0,13,0,51,87,93,100,88,97,100,100,100,0,2,11,0,0,0,0,12,0,53,100,92,96,100,88,88,100,96,5,0,11,0,0,8,17,11,14,82,94,97,94,97,100,90,88,100,11,40,0,18,50,0,8,5,11,79,76,97,81,91,91,100,93,97,9,4,2,9,2,0,0,0,4,77,90,95,99,94,99,93,100,98,6,11,16,6,0,10,11,10,9,51,87,90,82,93,97,95,94,100,93,75,82,100,68,75,87,93,75,0,0,23,0,15,5,15,0,15
7,1,48,1,67,41,39,65,38,25,37,59,80,75,38,59,58,43,53,28,56,62,58,66,41,58,61,34,73,64,90,62,34,39,43,71,76,69,72,58,70,80,76,36,54,55,71,67,64,29,69,59,41,53,35,64,65,72,36,74,50,76,41,38,62,41,69,73,61,69,34,39,63,35,77,65,74,36,32,31,58,34,35,31,64,85,34,56,33,45,59,44,44,43,77,64,66,39,42,82,78,55,56,83,42,41,71,35,35,59,59,37,40,80,73,84,37,41,70,43,59,62,40,57,76,41,37,67,78,61,42,36,78,57,68,37,45,65,58,69,39,41,41,79,87,69,66,69,38,62,41,72,39,44,82,72,61,34,45,36,40,44,40,32,31,35,64,25,44,78,60,69,36,61,29,43,37,74,76,66,39,62,60,72,43,69,62,67,42,66,62,55,43,42,63,37,31,67,65,58,56,40,44,70,60,38,59,71,46,40,58,57,52,67,57,67,41,69,74,56,54,41,60,70,36,57,60,39,59,55,78,42,81,60,76,60,84,41,31,42,85,77,38,68,41,59,69,40,70,55,33,56,77,69,40,79,70,36,81,45,41,78,69,40,82,57,38,64,70,81,36,66,79,36,66,79,62,73,69,50,28,82,25,38,41,42,64,65,70,68,62,75,33,41,64,70,53,45,61,36,54,36,70,59,69,38,36,44,86,82,32,82,82,63,69,66,50,60,62,68,67,61,36,60,66,85,62,61,64,38,65,38,87,60,35,33,67,58,77,40,48,76,66,38,62,64
8,2,32,0,98,76,50,76,79,83,79,89,65,18,11,5,21,7,24,21,21,24,77,99,50,77,78,72,40,51,50,21,34,21,30,23,33,18,21,25,70,24,95,68,16,26,4,21,17,22,65,22,11,50,20,31,35,22,63,50,19,100,30,80,67,57,84,53,73,13,14,25,26,24,17,12,84,70,28,21,99,82,75,80,36,23,26,16,21,5,3,16,19,1,67,29,25,50,76,98,8,76,53,35,14,24,24,20,24,7,20,20,76,46,19,30,78,37,99,76,30,34,16,26,23,23,21,18,17,9,76,30,28,54,24,76,82,99,26,31,15,6,11,15,22,13,3,12,21,74,75,78,22,50,24,23,98,69,25,22,30,14,25,24,33,25,39,25,35,83,23,14,22,23,71,99,53,46,50,50,39,21,51,60,14,26,75,48,7,21,17,29,76,63,100,81,84,83,78,28,78,41,10,32,33,53,20,28,13,17,28,50,72,76,59,64,75,64,86,82,25,25,21,25,5,13,23,15,22,72,86,78,100,83,88,85,89,78,2,11,26,31,10,16,24,18,16,59,77,78,83,100,80,83,97,88,18,63,6,16,24,27,17,19,33,47,52,80,91,76,98,88,83,97,22,50,36,29,17,16,26,7,70,29,23,50,82,51,81,100,90,86,7,25,30,14,13,23,29,4,28,50,77,78,89,89,90,87,100,92,28,21,22,14,10,24,18,8,26,50,63,50,77,76,26,71,93,98,30,50,83,70,50,88,50,79,63,8,32,30,8,30,8,18,10,36
9,1,29,0,100,92,92,100,95,100,100,100,100,63,86,86,25,14,31,2,95,95,79,94,100,94,100,100,100,100,96,68,95,35,69,100,26,15,100,76,95,86,86,100,100,100,94,94,93,26,95,90,18,14,72,20,100,100,100,100,92,100,100,100,90,100,100,29,94,100,14,22,9,100,94,21,76,96,96,94,100,100,100,100,95,93,30,25,100,26,15,92,100,95,100,95,93,93,100,100,94,100,100,60,95,86,34,25,25,94,68,19,100,92,100,91,100,81,100,95,100,11,95,100,41,9,20,37,100,87,100,100,96,100,100,100,100,100,100,35,89,100,74,8,25,31,32,17,86,100,100,100,100,100,66,85,100,91,59,94,32,25,47,37,100,65,54,93,55,77,63,93,95,35,92,100,100,100,100,95,70,100,100,100,58,90,65,54,68,93,31,5,100,100,100,92,100,100,100,96,100,91,73,100,90,65,59,100,94,89,98,94,94,100,94,93,100,100,100,100,11,26,10,0,22,33,14,18,61,95,100,100,100,100,100,100,100,100,28,28,36,36,32,12,31,93,19,100,93,99,92,100,100,100,100,100,59,31,100,96,57,12,26,63,35,100,91,100,100,100,100,100,100,100,12,15,20,26,18,1,40,31,92,100,100,94,94,100,91,100,100,95,100,92,100,91,5,92,8,95,82,100,100,100,100,100,100,100,100,100,95,12,30,86,6,32,35,58,19,100,100,100,100,100,100,100,92,94,68,67,100,85,51,71,100,66,31,12,0,49,13,3,31,18,0,24
10,2,42,1,100,37,76,88,85,89,89,94,86,63,24,34,24,25,16,57,21,40,60,100,77,76,82,88,30,45,68,57,10,38,67,7,62,53,14,43,88,77,100,76,84,86,60,70,94,60,39,33,5,45,36,36,30,23,91,74,60,100,70,61,56,84,92,46,13,57,31,15,11,42,24,17,77,75,64,77,100,67,92,97,92,44,34,12,5,34,9,5,10,16,76,93,77,65,83,100,77,88,93,57,5,16,7,5,45,35,64,24,84,7,42,77,61,93,100,64,76,10,39,38,31,9,35,25,24,39,65,56,65,92,89,65,77,100,68,36,10,37,11,39,15,25,3,11,86,83,93,92,76,78,82,63,100,91,57,35,31,34,17,55,43,43,83,44,47,96,63,53,70,55,91,100,77,76,60,63,56,58,67,66,5,31,76,32,43,15,32,44,43,61,100,88,63,100,59,75,85,64,30,30,42,26,29,36,22,13,35,57,86,100,64,65,83,58,88,87,61,9,5,10,16,14,16,9,39,60,77,62,100,89,61,77,99,89,13,43,37,12,16,41,16,5,37,66,97,75,84,100,76,88,95,76,30,59,56,8,6,44,30,18,58,70,58,71,67,61,100,77,59,64,31,49,39,23,27,55,14,52,67,63,76,59,71,86,91,100,92,78,25,62,23,40,28,28,13,16,34,76,76,65,87,89,92,100,100,89,42,24,30,17,24,39,18,42,59,65,60,60,88,85,58,66,96,100,50,67,60,76,69,69,69,77,60,0,16,50,32,15,23,50,1,31
